"id","osm_id","name","highway","xy_start","xy_end","length","datetime","daytime","distance","travel_time","speed"
28,34024918,"Via Tor Pisana","secondary","40.6357155,17.9367975","40.633235,17.938614",315.47,"2025-09-02 10:05:01.515859","day",315,47,24
29,34024888,"Via Grazia Balsamo","unclassified","40.631874,17.9237496","40.6295208,17.9257274",310.676,"2025-09-02 10:05:01.515859","day",316,80,14
30,34149862,"Via Verona","unclassified","40.6281291,17.9233088","40.6274241,17.9240946",102.709,"2025-09-02 10:05:01.515859","day",107,21,18
32,430287038,"Via Tor Pisana","unclassified","40.6323351,17.9392841","40.6312266,17.9404177",156.077,"2025-09-02 10:05:01.515859","day",157,21,27
33,34149856,"Viale Martiri delle Fosse Ardeatine","tertiary","40.6283516,17.9394671","40.6296195,17.938271",173.679,"2025-09-02 10:05:01.515859","day",174,66,9
34,314305921,"Via Tor Pisana","secondary","40.6328179,17.9390321","40.6330688,17.9387304",37.87,"2025-09-02 10:05:01.515859","day",39,6,23
35,271253576,"Via Dalmazia","unclassified","40.6284186,17.940473","40.6304466,17.9398572",244.526,"2025-09-02 10:05:01.515859","day",253,43,21
36,147950966,"Cavalcavia Alcide De Gasperi","tertiary","40.6326907,17.9417864","40.6305137,17.9397958",296.784,"2025-09-02 10:05:01.515859","day",296,32,33
37,34024914,"Cavalcavia Alcide De Gasperi","tertiary","40.6304466,17.9398572","40.6326582,17.9418449",299.775,"2025-09-02 10:05:01.515859","day",300,58,19
38,653812345,"Viale Aldo Moro","tertiary","40.6305137,17.9397958","40.6304416,17.939649",14.777,"2025-09-02 10:05:01.515859","day",12,1,43
39,267273116,"Via Osanna","unclassified","40.6373214,17.9314245","40.6376194,17.9309272",53.839,"2025-09-02 10:05:01.515859","day",54,37,5
40,34024915,"Viale Aldo Moro","tertiary","40.6263117,17.9317997","40.6295813,17.9381902",651.313,"2025-09-02 10:05:01.515859","day",651,154,15
42,34149859,"Via Tirolo","tertiary","40.6296195,17.938271","40.6303857,17.9376104",101.799,"2025-09-02 10:05:01.515859","day",99,28,13
43,271261225,"Via Tor Pisana","unclassified","40.6323351,17.9392841","40.6327002,17.9391076",43.241,"2025-09-02 10:05:01.515859","day",44,6,26
